dtstart,dtend,dtstamp,uid,description,last-modified,location,summary
2023-09-11T07:00:00Z,2023-09-11T08:00:00Z,2024-02-26T12:35:10Z,Cours-2644-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : Reservation de salles\nEnseignant : FREDOUILLE Corinne\nTD : IA-IL-ALT, L3INFO_TD5 ALT, L3INFO_TD6 ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1IL-CMI-alt, M1IL-CMI-cla, M2IL-Alt, M2SI-Alt\nSalle : Amphi Ada\nMemo : reunion de rentree des alternants\n",2023-09-12T07:48:51Z,Amphi Ada,"Reservation de salles - FREDOUILLE Corinne - IA-IL-ALT, L3INFO_TD5 ALT, L3INFO_TD6 ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1IL-CMI-alt, M1IL-CMI-cla, M2IL-Alt, M2SI-Alt - reunion de rentree des alternants"
2023-12-07T07:30:00Z,2023-12-07T09:00:00Z,2024-02-26T12:35:10Z,Cours-4896-24-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 ARCHITECTURES CLOUD ET\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : CM\n",2023-09-14T12:31:35Z,Amphi Blaise,"UCE 1 ARCHITECTURES CLOUD ET - PUY CAZCARRA Emmanuel - M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-12-07T13:30:00Z,2023-12-07T16:30:00Z,2024-02-26T12:35:10Z,Cours-4980-24-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ARCHITECTURES CLOUD ET\nEnseignant : NABITZ Sophie\nTD : M1-ILSEN-cla-Gr1\nSalle : CISCO = C 133 reseaux\nType : TP\n,2023-09-14T12:40:04Z,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET - NABITZ Sophie - M1-ILSEN-cla-Gr1 - TP
2023-12-21T16:30:00Z,2023-12-21T18:00:00Z,2024-02-26T12:35:10Z,Cours-4984-26-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ARCHITECTURES CLOUD ET\nEnseignant : NABITZ Sophie\nTD : M1-ILSEN-cla-Gr1\nSalle : CISCO = C 133 reseaux\nType : TP\n,2023-11-13T06:50:49Z,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET - NABITZ Sophie - M1-ILSEN-cla-Gr1 - TP
2024-01-10T09:00:00Z,2024-01-10T10:30:00Z,2024-02-26T12:35:10Z,Cours-4989-29-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 ARCHITECTURES CLOUD ET\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : Evaluation\n",2023-09-14T12:31:35Z,Amphi Ada,"UCE 1 ARCHITECTURES CLOUD ET - PUY CAZCARRA Emmanuel - M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - Evaluation"
2023-09-12T06:30:00Z,2023-09-12T09:30:00Z,2024-02-26T12:35:10Z,Cours-4992-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-07-12T06:45:23Z,Amphi Ada,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne - M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-09-13T11:00:00Z,2023-09-13T12:30:00Z,2024-02-26T12:35:10Z,Cours-4995-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : CM\n",2023-07-13T11:11:39Z,Amphi Blaise,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne - M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-09-19T06:30:00Z,2023-09-19T08:00:00Z,2024-02-26T12:35:10Z,Cours-4999-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-06-27T16:15:40Z,Amphi Ada,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne - M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-09-18T06:30:00Z,2023-09-18T08:00:00Z,2024-02-26T12:35:10Z,Cours-5005-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-06-27T16:15:40Z,Amphi Ada,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne - M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-10-09T06:30:00Z,2023-10-09T08:00:00Z,2024-02-26T12:35:10Z,Cours-5005-16-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-06-27T16:15:40Z,Amphi Ada,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne - M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla - CM"
