dtstart,dtend,uid,Matiere,Enseignants,TD,Salle,Type,Memo
2023-09-11T07:00:00Z,2023-09-11T08:00:00Z,Cours-2644-12-M1-ILSEN-cla-Gr1-Index-Education,Reservation de salles,FREDOUILLE Corinne,"IA-IL-ALT, L3INFO_TD5 ALT, L3INFO_TD6 ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1IL-CMI-alt, M1IL-CMI-cla, M2IL-Alt, M2SI-Alt",Amphi Ada,,reunion de rentree des alternants
2023-12-07T07:30:00Z,2023-12-07T09:00:00Z,Cours-4896-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,"M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-12-07T13:30:00Z,2023-12-07T16:30:00Z,Cours-4980-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-12-21T16:30:00Z,2023-12-21T18:00:00Z,Cours-4984-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2024-01-10T09:00:00Z,2024-01-10T10:30:00Z,Cours-4989-29-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,"M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,Evaluation,
2023-09-12T06:30:00Z,2023-09-12T09:30:00Z,Cours-4992-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-09-13T11:00:00Z,2023-09-13T12:30:00Z,Cours-4995-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-09-19T06:30:00Z,2023-09-19T08:00:00Z,Cours-4999-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-09-18T06:30:00Z,2023-09-18T08:00:00Z,Cours-5005-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-10-09T06:30:00Z,2023-10-09T08:00:00Z,Cours-5005-16-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2024-01-08T12:00:00Z,2024-01-08T13:30:00Z,Cours-5006-29-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam","M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,Evaluation,
2023-09-21T06:30:00Z,2023-09-21T08:00:00Z,Cours-5024-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,
2023-11-16T07:30:00Z,2023-11-16T09:00:00Z,Cours-5024-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,
2023-12-18T07:30:00Z,2023-12-18T10:30:00Z,Cours-5033-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam","M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 3 = Info - C 135,Evaluation,Evaluation
2023-09-12T15:30:00Z,2023-09-12T17:00:00Z,Cours-5127-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-09-18T08:00:00Z,2023-09-18T09:30:00Z,Cours-5131-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-10-09T09:30:00Z,2023-10-09T11:00:00Z,Cours-5132-16-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-10-13T09:30:00Z,2023-10-13T11:00:00Z,Cours-5137-16-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-10-26T14:00:00Z,2023-10-26T15:30:00Z,Cours-5140-18-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-06T10:30:00Z,2023-11-06T12:00:00Z,Cours-5145-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-13T09:00:00Z,2023-11-13T10:30:00Z,Cours-5149-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-28T10:30:00Z,2023-11-28T12:00:00Z,Cours-5153-23-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-12-11T09:00:00Z,2023-12-11T10:30:00Z,Cours-5157-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-20T07:30:00Z,2023-11-20T09:00:00Z,Cours-5161-22-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-17T07:30:00Z,2023-11-17T09:00:00Z,Cours-5232-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,Evaluation,
2024-01-12T15:00:00Z,2024-01-12T16:30:00Z,Cours-5239-29-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,Evaluation,
2023-09-21T08:00:00Z,2023-09-21T11:00:00Z,Cours-5241-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-09-15T08:00:00Z,2023-09-15T11:00:00Z,Cours-5243-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",S5 = C 024,CM,
2023-12-12T13:30:00Z,2023-12-12T15:00:00Z,Cours-5246-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-11-06T15:00:00Z,2023-11-06T18:00:00Z,Cours-5248-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
