dtstart,dtend,uid,description,salle
2023-09-25T06:00:00Z,2023-09-25T17:00:00Z,Cours-2543-14-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2023-10-02T06:00:00Z,2023-10-02T17:00:00Z,Cours-2543-15-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2023-10-23T06:00:00Z,2023-10-23T17:00:00Z,Cours-2543-18-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2023-10-30T07:00:00Z,2023-10-30T18:00:00Z,Cours-2543-19-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, IA-SI-ALT, M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2023-11-20T07:00:00Z,2023-11-20T18:00:00Z,Cours-2543-22-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2023-11-27T07:00:00Z,2023-11-27T18:00:00Z,Cours-2543-23-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-01-15T07:00:00Z,2024-01-15T18:00:00Z,Cours-2543-30-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-01-22T07:00:00Z,2024-01-22T18:00:00Z,Cours-2543-31-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, IA-SI-ALT, M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-02-19T07:00:00Z,2024-02-19T18:00:00Z,Cours-2543-35-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
2024-02-26T07:00:00Z,2024-02-26T18:00:00Z,Cours-2543-36-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
