dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-09-22T12:30:00Z,2023-09-22T14:00:00Z,Cours-5175-13-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-09-15T06:30:00Z,2023-09-15T08:00:00Z,Cours-5177-12-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-09-27T14:00:00Z,2023-09-27T15:30:00Z,Cours-5187-14-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-11-16T15:00:00Z,2023-11-16T16:30:00Z,Cours-5193-21-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-10-05T06:30:00Z,2023-10-05T08:00:00Z,Cours-5197-15-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-10-26T08:00:00Z,2023-10-26T09:30:00Z,Cours-5202-18-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-11-23T15:00:00Z,2023-11-23T16:30:00Z,Cours-5205-22-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-11-30T07:30:00Z,2023-11-30T09:00:00Z,Cours-5209-23-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-11-28T07:30:00Z,2023-11-28T09:00:00Z,Cours-5214-23-M1-IA-IL-CLA-Index-Education,S1 = C 042 Nodes,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-12-19T07:30:00Z,2023-12-19T09:00:00Z,Cours-5214-26-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-10-12T08:00:00Z,2023-10-12T09:30:00Z,Cours-5229-16-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-11-17T07:30:00Z,2023-11-17T09:00:00Z,Cours-5232-21-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,AI-CLA
