dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2023-09-11T07:00:00Z,2023-09-11T08:00:00Z,Cours-2644-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,Reservation de salles,FREDOUILLE Corinne,,reunion de rentree des alternants,ILSEN-CLA
2023-12-07T07:30:00Z,2023-12-07T09:00:00Z,Cours-4896-24-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-07T13:30:00Z,2023-12-07T16:30:00Z,Cours-4980-24-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-21T16:30:00Z,2023-12-21T18:00:00Z,Cours-4984-26-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2024-01-10T09:00:00Z,2024-01-10T10:30:00Z,Cours-4989-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,Evaluation,,ILSEN-CLA
2023-09-12T06:30:00Z,2023-09-12T09:30:00Z,Cours-4992-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-13T11:00:00Z,2023-09-13T12:30:00Z,Cours-4995-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-19T06:30:00Z,2023-09-19T08:00:00Z,Cours-4999-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-18T06:30:00Z,2023-09-18T08:00:00Z,Cours-5005-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-10-09T06:30:00Z,2023-10-09T08:00:00Z,Cours-5005-16-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2024-01-08T12:00:00Z,2024-01-08T13:30:00Z,Cours-5006-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam",Evaluation,,ILSEN-CLA
2023-09-21T06:30:00Z,2023-09-21T08:00:00Z,Cours-5024-13-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-CLA
2023-11-16T07:30:00Z,2023-11-16T09:00:00Z,Cours-5024-21-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-CLA
2023-12-18T07:30:00Z,2023-12-18T10:30:00Z,Cours-5033-26-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam",Evaluation,Evaluation,ILSEN-CLA
